event_id,event_date,artist_name,venue_name,city,state_code,price_min,price_max,price_avg,total_tickets,sold_out,year,month,dayofweek,data_source
9512391,2016-04-21 04:00:00,Miike Snow,Fonda Theatre,Los Angeles,CA,73.18,9999.0,5036.09,152,0,2016,4,3,GitHub
9500899,2016-05-21 01:00:00,Miike Snow,Marathon Music Works,Nashville,TN,73.3,64.0,68.65,6,0,2016,5,5,GitHub
9501172,2016-04-12 03:30:00,Miike Snow,Roseland Theater,Portland,OR,48.31,150.0,99.155,168,0,2016,4,1,GitHub
9502718,2016-04-11 03:30:00,Miike Snow,The Showbox,Seattle,WA,70.81,299.0,184.905,114,0,2016,4,0,GitHub
9501174,2016-04-14 03:00:00,Miike Snow,The Independent,San Francisco,CA,126.34,149.0,137.67000000000002,21,0,2016,4,3,GitHub
9501175,2016-04-15 03:00:00,Miike Snow,The Independent,San Francisco,CA,114.6,168.0,141.3,26,0,2016,4,4,GitHub
9522389,2016-07-09 19:00:00,Mike Love and Bruce Johnstons Beach Boys,Wilbur Theatre,Boston,MA,108.7,229.0,168.85,253,0,2016,7,5,GitHub
9515904,2016-07-07 22:00:00,Mike Love and Bruce Johnston's Beach Boys,Maine State Pier,Portland,ME,84.31,274.0,179.155,64,0,2016,7,3,GitHub
9530016,2016-03-16 00:00:00,Mike Posner,Marlin Room at Webster Hall,New York,NY,81.17,119.0,100.08500000000001,14,0,2016,3,2,GitHub
9522686,2016-05-15 00:00:00,Mint Condition,House of Blues Houston,Houston,TX,119.32,249.0,184.16,54,0,2016,5,6,GitHub
9541757,2016-06-21 00:00:00,Mitski,Bowery Ballroom,New York,NY,44.98,74.0,59.489999999999995,17,0,2016,6,1,GitHub
9529123,2016-03-17 16:00:00,MixMash Miami Pool Party,Miami National Hotel,Miami,FL,108.7,169.0,138.85,13,0,2016,3,3,GitHub
9506595,2016-05-22 01:00:00,Moderat,Concord Music Hall,Chicago,IL,57.9,166.66,112.28,60,0,2016,5,6,GitHub
9505623,2016-05-27 04:00:00,Moderat,Fonda Theatre,Los Angeles,CA,61.5,144.0,102.75,56,0,2016,5,4,GitHub
9505676,2016-05-20 00:00:00,Moderat,Webster Hall,New York,NY,68.06,9999.0,5033.53,155,0,2016,5,4,GitHub
9505624,2016-05-25 03:30:00,Moderat,The Showbox,Seattle,WA,57.95,89.0,73.475,33,0,2016,5,2,GitHub
9536650,2016-06-23 22:30:00,Modern Baseball with Joyce Manor and Thin Lips,House of Blues Boston,Boston,MA,69.21,149.0,109.10499999999999,51,0,2016,6,3,GitHub
9536692,2016-05-30 01:00:00,Modern Baseball with Joyce Manor and Thin Lips,Gas Monkey Bar N Grill,Dallas,TX,62.23,62.7,62.465,20,0,2016,5,0,GitHub
9536697,2016-06-12 02:00:00,Modern Baseball with Joyce Manor and Thin Lips,Summit Music Hall,Denver,CO,68.98,89.0,78.99000000000001,44,0,2016,6,6,GitHub
9536695,2016-06-04 23:30:00,Modern Baseball with Joyce Manor and Thin Lips,The Echo,Los Angeles,CA,85.82,99.99,92.905,18,0,2016,6,5,GitHub
9536691,2016-05-26 01:00:00,Modern Baseball with Joyce Manor and Thin Lips,Exit In,Nashville,TN,59.86,62.7,61.28,36,0,2016,5,3,GitHub
