lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name
"894,151","11,753,624",Pop,Andy Grammer
"54,342","443,708",Country,Andy Griggs
"64,412","320,140",Pop,Andy Kim
"96,604","512,248",salsa,Andy Montañez
,,,Andy Prado
"15,319","93,487",70s,Andy Pratt
310,"1,127",,Andy Rose
"391,749","8,285,337",folk,Andy Shauf
"24,202","140,557",folk,Andy Stewart
"17,390","169,172",rock,Andy Taylor
"1,803,162","15,365,963",oldies,Andy Williams
74,202,,Andy Williams with the St. Charles Borromeo Choir
"643,650","13,976,682",singer-songwriter,Ane Brun
"183,204","1,392,753",hard rock,Angel
864,"4,161",,Angel City
"168,179","4,617,943",hardcore punk,Angel Du$t
"4,023","35,086",blues,Angela Aguilar
"25,038","231,748",heavy metal,Angelica
"42,078","309,416",freestyle,Angelina
"968,844","40,307,612",alternative rock,Angels
"206,681","8,188,941",hardcore,Angerfist
66,256,,Angie Martinez
1,5,,Angie Pontani
"579,137","5,681,374",soul,Angie Stone
"114,727","1,947,832",punk,Angry Samoans
"1,633,673","45,781,596",folk,Angus
"248,425","1,407,620",new wave,Animotion
227,"1,054",Pop,Anita
"531,019","5,532,360",soul,Anita Baker
"14,970","4,152,255",Pop,Anita Bryant
,,,Anita Cochran (Duet With Steve Wariner)
"333,979","1,529,256",Disco,Anita Ward
"1,144,681","144,130,005",Pop,Anitta
"8,496","41,721",female vocalists,Ann Cole
"70,793","389,805",jazz,Ann Hampton Callaway
"428,920","3,506,540",soul,Ann Peebles
"31,970","197,692",rock,Ann Wilson
"305,470","5,693,263",female vocalists,Anna Calvi
"654,256","6,226,007",Pop,Anna Kendrick
"9,731","41,078",soul,Anna King
3,4,,Anna King-Bobby Byrd
"5,545","28,186",,Anna Marx
"749,297","9,470,276",female vocalists,Anna Nalick
"604,477","7,307,921",Pop,Anna of the North
"240,995","5,946,993",swedish,Anna Von Hausswolff
"15,624","42,150",,Annalise Azadian
"11,816","111,243",Soundtrack,AnnaSophia Robb
"183,069","1,274,259",Soundtrack,Anne Hathaway
