artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration
Cabuizee,25.0,6886.0,23.0,2,0.0,2.2206333333333332
Cage The Elephant,73.0,4297537.0,66.66666666666667,3,0.0,3.7236944444444444
Cailin Russo,49.0,40675.0,30.0,1,1.0,3.6389666666666667
Cairokee,60.0,4294346.0,53.083333333333336,12,0.0,3.7061916666666668
Calum Scott,73.0,6168229.0,79.5,2,0.0,3.871758333333333
Calvin Harris,84.0,23078238.0,69.52380952380952,21,0.23809523809523808,3.6578388888888886
Camila Cabello,78.0,35576126.0,55.5,20,0.0,3.387096666666667
Camilla Sun,6.0,3.0,17.0,1,1.0,2.217983333333333
Camilo,78.0,20454854.0,70.0,1,0.0,3.4960833333333334
Candi Staton,55.0,123997.0,70.0,1,0.0,4.139333333333333
Capital Cities,65.0,996785.0,13.0,1,0.0,3.21315
Cardi B,81.0,25953771.0,64.77272727272727,22,1.0,3.4973530303030302
Carl Anderson,39.0,9152.0,42.0,1,0.0,4.346666666666667
Carl Moon,32.0,1321.0,45.0,1,0.0,3.968
Carl Orff,50.0,76720.0,24.0,1,0.0,2.5833333333333335
Carlie Hanson,45.0,470367.0,46.0,2,0.5,2.687825
Carlos Rafael Rivera,48.0,20272.0,9.75,4,0.0,1.6443
Carlos Vives,72.0,6795970.0,64.0,1,0.0,3.7951
Carly Rae Jepsen,70.0,5139846.0,76.5,2,0.0,3.223333333333333
Carly Simon,61.0,1287167.0,76.0,1,0.0,4.30685
Carmen Twillie,48.0,14343.0,36.0,1,0.0,3.9844333333333335
Carnage,47.0,307529.0,24.0,1,1.0,2.555833333333333
Caroline Polachek,67.0,650534.0,62.0,1,0.0,3.06435
Carrie Underwood,68.0,6125781.0,76.0,1,0.0,3.3324333333333334
Cartoon,59.0,258422.0,38.0,2,0.0,3.4511333333333334
Cascada,65.0,615439.0,33.0,2,0.0,3.29655
Cassanova,15.0,13588.0,0.0,1,0.0,3.4056
Cassie,66.0,1897453.0,79.0,2,0.0,3.440433333333333
Casual Sex,37.0,9183.0,0.0,1,0.0,2.46
Cat Power,53.0,793083.0,34.0,2,0.0,4.167508333333333
Catfish and the Bottlemen,62.0,1176765.0,56.0,1,0.0,4.158
Cathedrals,32.0,42600.0,43.0,1,0.0,3.7293166666666666
Catlea,23.0,55684.0,31.0,1,0.0,3.0222166666666666
Cecilia Krull,45.0,74230.0,3.0,1,0.0,3.8700833333333335
CeeLo Green,69.0,721160.0,61.0,2,0.5,3.720225
Celeste,63.0,703644.0,73.0,1,0.0,4.2664333333333335
Central Cee,79.0,9666661.0,70.5,4,1.0,2.170920833333333
Chad Brock,29.0,47234.0,35.0,1,0.0,3.386216666666667
Chamillionaire,57.0,1016915.0,68.0,1,1.0,5.050883333333333
Chance Peña,70.0,578910.0,0.0,1,0.0,2.96015
Chance Thomas,34.0,4430.0,31.5,2,0.0,2.7588833333333334
Chance the Rapper,74.0,6033166.0,60.0,1,1.0,2.3590333333333335
Chappell Roan,82.0,7299563.0,73.61111111111111,18,0.2777777777777778,3.5925499999999997
Charles & Eddie,52.0,41369.0,67.0,1,0.0,4.66
Charles Kelley,39.0,25472.0,42.0,1,0.0,4.566883333333333
