artist_name,secondary_market_events,avg_secondary_price,avg_price_volatility,avg_price_range,avg_active_listings,avg_daily_price_change,high_demand_rate,high_volatility_rate,premium_pricing_rate,avg_price_observations,artist_name_std
Jerry Seinfeld,1,131.575,0.1324668128271229,73.29,629.0,17.519655172413795,1.0,0.0,1.0,120.0,jerry seinfeld
Jesse Welles,1,118.715,0.2381903742962709,81.73,3.0,11.58344827586207,0.0,1.0,1.0,120.0,jesse welles
Jimmy Barnes,1,132.185,0.0969795044485139,46.84,2.0,6.92344827586207,0.0,0.0,1.0,120.0,jimmy barnes
Jimmy Carr,6,78.03399999999999,0.14111576362698225,25.8,118.8,14.163,0.16666666666666666,0.3333333333333333,0.5,6.0,jimmy carr
Jimmy Carr: Laughs Funny,3,,,,,,0.0,0.0,0.0,,jimmy carr: laughs funny
Jimmy V Classic,1,81.305,0.1624968444937663,47.69,,8.645172413793102,0.0,0.0,1.0,120.0,jimmy v classic
Jinglefest,1,72.9,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,jinglefest
Jo Koy,7,78.73928571428571,0.14965943721877664,35.152857142857144,548.0,15.554690476190475,0.42857142857142855,0.42857142857142855,0.42857142857142855,10.285714285714286,jo koy
Jo Koy: Just Being Koy Tour,5,79.175,0.19865468327445474,39.208000000000006,809.0,22.647399999999998,0.2,0.6,0.4,10.8,jo koy: just being koy tour
Joe Dwet File,1,59.465,0.1294651463995222,36.14000000000001,484.0,7.478620689655172,1.0,0.0,0.0,120.0,joe dwet file
John Legend,1,122.265,0.2393017693258357,143.60000000000002,260.0,20.83551724137931,1.0,1.0,1.0,120.0,john legend
John Michael Montgomery,1,38.84,0.1313690649890632,18.74,,2.715172413793103,0.0,0.0,0.0,120.0,john michael montgomery
John Mulaney,5,106.53,0.22492125827838735,101.286,147.2,19.45255172413793,0.2,0.4,0.8,120.0,john mulaney
Jon Pardi,2,85.03999999999999,0.12396868701374915,43.644999999999996,257.0,11.858448275862067,1.0,0.0,1.0,120.0,jon pardi
Jonas Brothers,3,62.044999999999995,0.33457220244475644,116.90666666666665,708.0,17.465517241379313,0.3333333333333333,1.0,0.0,120.0,jonas brothers
Jordan Klepper,1,22.43,0.446112103815853,48.63,123.0,6.855862068965516,0.0,1.0,0.0,120.0,jordan klepper
Josh Johnson,1,59.17,0.0570414876877043,15.14,227.0,0.8524137931034482,1.0,0.0,0.0,120.0,josh johnson
Junior H,1,63.845,0.256926468844174,52.99999999999999,302.0,17.759999999999998,1.0,1.0,0.0,12.0,junior h
K-Pop Demon Hunters Dance Party and Sing-A-Long Experience,1,,,,5.0,,0.0,0.0,0.0,,k-pop demon hunters dance party and sing-a-long experience
K-pop Demon Hunters,3,46.163333333333334,0.07420086629772576,9.816666666666668,40.333333333333336,4.342666666666667,0.0,0.0,0.0,12.0,k-pop demon hunters
